Député,Facebook,Twitter
Mme Audrey Abadie-Amiel,,
Mme Nadège Abomangoli,https://fr-fr.facebook.com/Deputee.Abomangoli/,https://twitter.com/@abomangoli/
M. Xavier Albertini,,
M. Laurent Alexandre,https://fr-fr.facebook.com/LaurentAlexandre2022/,https://twitter.com/@LauAlexandre12/
M. Henri Alfandari,,
M. Alexandre Allegret-Pilot,,
Mme Marie-José Allemand,https://fr-fr.facebook.com/Marie-josé Allemand/,
M. Franck Allisio,,https://twitter.com/@franckallisio/
M. Charles Alloncle,,
M. Gabriel Amard,https://fr-fr.facebook.com/GabrielAmard/,https://twitter.com/@gabrielamard/
M. Maxime Amblard,https://fr-fr.facebook.com/massou24/,https://twitter.com/@MaximeAmblard5/
Mme Ségolène Amiot,https://fr-fr.facebook.com/SegoleneAmiot/,https://twitter.com/@SegoleneAmiot/
M. Pouria Amirshahi,https://fr-fr.facebook.com/Pouria Amirshahi/,https://twitter.com/@PouriaAmirshahi/
Mme Farida Amrani,,
M. Pieyre-Alexandre Anglade,,
M. Rodrigo Arenas,,https://twitter.com/@arenasrodrigo_/
M. Antoine Armand,,
M. Raphaël Arnault,,https://twitter.com/@ArnaultRaphael/
Mme Christine Arrighi,,
M. Gabriel Attal,,https://twitter.com/@GabrielAttal/
Mme Clémentine Autain,https://fr-fr.facebook.com/clementineautain/,https://twitter.com/@Clem_Autain/
Mme Bénédicte Auzanot,,
M. Joël Aviragnet,https://fr-fr.facebook.com/profile.php?id=100001391067319/,https://twitter.com/@JAviragnet/
Mme Léa Balage El Mariky,,
M. Erwan Balanant,https://fr-fr.facebook.com/erwanbalanant/,https://twitter.com/@erwanbalanant/
M. Philippe Ballard,https://fr-fr.facebook.com/BallardPhilippe/,https://twitter.com/@BallardPhilippe/
Mme Anchya Bamana,,
Mme Géraldine Bannier,https://fr-fr.facebook.com/geraldine.bannier.1/,https://twitter.com/@Bannier_G/
M. Christian Baptiste,,https://twitter.com/@ChrisBapt/
M. Michel Barnier,https://fr-fr.facebook.com/michelbarnier/,https://twitter.com/@michelbarnier/
M. Christophe Barthès,https://fr-fr.facebook.com/Christophe Barthès/,
M. Fabrice Barusseau,https://fr-fr.facebook.com/fabrice.barusseau.7/,https://twitter.com/@fbarusseau/
M. Jean-Pierre Bataille,,
Mme Delphine Batho,https://fr-fr.facebook.com/DelphineBatho/,https://twitter.com/@delphinebatho/
Mme Marie-Noëlle Battistel,https://fr-fr.facebook.com/marienoelle.battistel/,
M. Romain Baubry,,
M. Laurent Baumel,,
M. Thibault Bazin,https://fr-fr.facebook.com/DeputeThibaultBAZIN/,https://twitter.com/@thibault_bazin/
Mme Valérie Bazin-Malgras,https://fr-fr.facebook.com/VBazinMalgras/,
M. José Beaurain,https://fr-fr.facebook.com/www.facebook.com/p/José-Beaurain-100082625055328/?_rdr/,https://twitter.com/@beaurainjose/
M. Olivier Becht,,
M. Belkhir Belhaddad,https://fr-fr.facebook.com/belhaddadbelkhir/,https://twitter.com/@b_belhaddad/
Mme Béatrice Bellamy,https://fr-fr.facebook.com/Béatrice Bellamy 2022/,https://twitter.com/@BeaBellamy85/
Mme Béatrice Bellay,,
Mme Lisa Belluco,https://fr-fr.facebook.com/belluco.lisa/,https://twitter.com/@LisaBelluco/
Mme Anaïs Belouassa-Cherifi,,https://twitter.com/@BelouassaAnais/
M. Édouard Bénard,,
M. Karim Benbrahim,,https://twitter.com/@Benbrahim_K/
M. Karim Ben Cheikh,,
